KEY,English,Russian
BA_GhostRiderBaseII,Ghost Rider Base II,База Ghost Rider II
BA_GhostRiderBiolab,Ghost Rider Biolab,Биолаборатория Ghost Rider
BA_GhostRiderDefenceI,Ghost Rider Defence II,Блокпост Ghost Rider I
BA_GhostRiderDefenceII,Ghost Rider Defence II,Блокпост Ghost Rider II
BA_GhostRiderDefenceIII,Ghost Rider Defence III,Блокпост Ghost Rider III
BA_GhostRiderDefenceIV,Ghost Rider Defence IV,Блокпост Ghost Rider IV
BA_GhostRiderHQ,Ghost Rider HQ,Штаб Ghost Rider
BA_GhostStealth,Ghost Stealth MKI,Укрытие Ghost MKI
BA_GhostSupport,Ghost Support MKI,Оплот Ghost MKI
BA_HabitatBeta,Alien Base,База инопланетян
BA_MiningComplex,Xenu Mining Complex,Добывающий комплекс Xenu
BA_OrbitalSpire,Alien Base,База инопланетян
BA_PF1,Alien Base,База инопланетян
BA_PF7,Alien Base,База инопланетян
BA_Rados_DroneBase,Drone Base,База дронов
BA_Rados_MissileSilo,Rados Missile Silo,Ракетный бункер Rados
BA_RadosAdvBase,Rados Base MKII,База Rados MKII
BA_RadosAdvComCenter,Rados ComCenter MKII,Центр связи Rados MKII
BA_RadosAdvOxyDepot,Rados Oxygen Depot MKII,Хранилище кислорода Rados MKII
BA_RadosAdvSupplyStation,Rados Supply Station MKII,Станция снабжения Rados MKII
BA_RadosBase,Rados Base MKI,База Rados MKI
BA_RadosComCenter,Rados ComCenter MKI,Центр связи Rados MKI
BA_RadosDefenceI,Rados Defence I,Блокпост Rados I
BA_RadosDefenceII,Rados Defence II,Блокпост Rados II
BA_RadosDefenceIII,Rados Defence III,Блокпост Rados III
BA_RadosFuelDepot,Rados Fuel Depot,Топливный склад Rados
BA_RadosOxyDepot,Rados Oxygen Depot MKI,Хранилище кислорода Rados MKI
BA_RadosPowerStation,Rados Power Station,Электростанция Rados
BA_RadosRefinery,Rados Refinery,Перерабатывающий завод Rados
BA_RadosSupplyStation,Rados Supply Station MKI,Станция снабжения Rados MKI
BA_Spaceport-CivilSettlement-B,Logistics Center,Логистический центр
BA_SpireSatellite,Alien Base,База инопланетян
BA_TalonGuardianTempel,Talon Guardian Temple,Храм стражей Талон
BA_TalonGuardianVillage,Talon Guardian Village,Деревня стражей Талон
BA_TransportationStation,Transportation Hub,Транспортный узел
BA_Tribal-VillageStone-10,Village,Деревня
BA_Tribal-VillageStone-11,Village,Деревня
BA_Tribal-VillageStone-7p2,Village,Деревня
BA_Tribal-VillageStone-8p2,Village,Деревня
BA_Tribal-VillageWood-12,Village,Деревня
BA_Tribal-VillageWood-6p2,Village,Деревня
BA_Tribal-VillageWood-9p2,Village,Деревня
BA_Unknown-Artifact,Unknown Artifact,Неизвестный артефакт
BA_Unknown-Structure,Unknown Structure,Неизвестное сооружение
BA_Xenu_DroneBase,Drone Base,База дронов
BA_XenuAdvArmory,Xenu Armory MKII,Арсенал Xenu MKII
BA_XenuAdvPowerStation,Xenu PowerStation MKII,Электростанция Xenu MKII
BA_XenuAdvRadar,Xenu Radar MKII,Радар Xenu MKII
BA_XenuAdvSpaceport,Xenu Spaceport MKII,Космопорт Xenu MKII
BA_XenuAdvVehiclePort,Xenu Vehicle Port MKII,Парковка Xenu MKII
BA_XenuArmory,Xenu Armory MKI,Арсенал Xenu MKI
BA_XenuColony,Xenu Colony,Колония Xenu
BA_XenuDefenceI,Xenu Defence I,Блокпост Xenu I
BA_XenuDefenceII,Xenu Defence II,Блокпост Xenu II
BA_XenuDefenceIII,Xenu Defence III,Блокпост Xenu III
BA_XenuFortressP1,Xenu Fortress P1,Укрепление Xenu P1
BA_XenuPowerStation,Xenu PowerStation MKI,Электростанция Xenu MKI
BA_XenuRadar,Xenu Radar MKI,Радар Xenu MKI
BA_XenuRareSupplyStation,Xenu Supply Station,Станция снабжения Xenu
BA_XenuSpaceport,Xenu Spaceport MKI,Космопорт Xenu MKI
BA_XenuTemple,Xenu Temple,Храм Xenu
BA_XenuVehiclePort,Xenu Vehicle Port MKI,Парковка Xenu MKI
BA_XenuWalkerBase,Xenu Walker Base,Перевалочная база Xenu
BA_XenuWeaponBunker,Xenu Weapon Bunker,Оружейный бункер Xenu
BAO_AntarisSpacefarm,Antaris Space Farm,Космическая ферма Антарис
BAO_CrusaldOrbital,Crusald Orbital,Орбитальный Crusald
BAO_Dion-III,Dion-III,Дион-3
BAO_GhostRiderShipyard,Shipyard,Верфь
BAO_Migotzu-Orbital-Hub,Migotzu-Orbital-Hub,Орбитальный узел Миготзу
BAO_OrbitalSpire,Orbital Spire,Орбитальный шпиль
BAO_PF2,Orbital Station,Орбитальная станция
BAO_RadosRepairStation,Repair Station,Ремонтная станция
BAO_Thermica-Station,Thermica Station,Станция Термика
BAO_XenuShipyard,Shipyard,Верфь
BAO_XenuSupplyStation,Supply Station,Станция снабжения
CV_ISS,Research Station,Исследовательская станция
CV_Titan_crashed_GC,Crashed Ship,Разбитое судно
CV_Titan_crashedV2,Crashed Ship,Разбитое судно
TSO_AkuaOrbit,TS Akua Orbit,ТС Акуа орбитальная
TSO_OmicronOrbit,TS Omicron Orbit,ТС Омикрон орбитальная
TSP_Akua,TS Akua,ТС Акуа
TSP_Omicron,TS Omicron,ТС Омикрон
rgwControlPanel,Control Panel,Панель управления
rgwFaction,Faction,Фракция
rgwFilter,Filter,Фильтр
rgwLocation,Location,Расположение
rgwName,Name,Имя
rgwPlayfields,Name,Название
rgwPowered,Powered,Запитано
rgwRegistryTitle,REGISTRY,РЕЕСТР
rgwShowOnMap,Show on Map,Показать на карте
rgwShowPrivate,Show Private,Показать личные
rgwStatistics,Statistics,Статистика
rgwType,Type,Тип
rgwWaypoint,Waypoint,Маршрут
rswRepair,Repair,Ремонт
rswRepairStation,Repair Station,Ремонтная станция
rswTitle,REPAIR STATION,РЕМОНТНАЯ СТАНЦИЯ
CobaltResource,Cobalt Deposit,Кобальтовые залежи
CopperResource,Copper Deposit,Медные залежи
ErestrumResource,Erestrum Deposit,Эреструмные залежи
GoldResource,Gold Deposit,Золотые залежи
IronResource,Iron Deposit,Железные залежи
MagnesiumResource,Magnesium Deposit,Магниевые залежи
NeodymiumResource,Neodymium Deposit,Неодимовые залежи
PentaxidResource,Pentaxid Deposit,Пентаксидные залежи
PromethiumResource,Promethium Deposit,Прометиевые залежи
SathiumResource,Sathium Deposit,Сатиумные залежи
SiliconResource,Silicon Deposit,Кремниевые залежи
ZascosiumResource,Zascosium Deposit,Заскозиевые залежи
AsteroidCobalt,Cobalt Meteorite,Кобальтовый метеорит
AsteroidCopper,Copper Meteorite,Медный метеорит
AsteroidErestrum,Erestrum Meteorite,Эреструмовый метеорит
AsteroidGold,Gold Meteorite,Золотой метеорит
